sent_id,sentence,entities,uris
389,"Katakanlah ( Nabi Muhammad )  "" Siapa yang menjadi musuh Jibril ? ""","['Muhammad', 'Jibril']","['http://www.wikidata.org/entity/Q9458', 'http://www.wikidata.org/entity/Q3467762']"
2033,Tiap-tiap mereka Kami lebihkan daripada ( umat ) seluruh alam ( pada masanya ) . ( Kami lebihkan pula ) sebagian dari nenek moyang mereka  keturunan mereka  dan saudara-saudara mereka .,[],[]
1252,Cukuplah Allah sebagai pengawas .,['Allah'],['http://www.wikidata.org/entity/Q2095353']
2260,"Mereka menjawab  "" Benar . "" Kemudian penyeru ( malaikat ) mengumumkan di antara mereka  "" Laknat Allah bagi orang-orang yang zalim . "" ( Mereka adalah ) orang-orang yang menghalang-halangi ( orang lain ) dari jalan Allah serta menginginkan jalan itu menjadi bengkok dan mereka itu orang-orang yang mengingkari ( kehidupan ) akhirat . Di antara keduanya ( para penghuni surga dan neraka ) ada batas pemisah dan di atas tempat yang tertinggi ( al-a ' rāf ) ada orang-orang yang saling mengenal dengan tandanya masing-masing .","['Allah', 'Allah']","['http://www.wikidata.org/entity/Q2095353', 'http://www.wikidata.org/entity/Q2095353']"
586,Namun  jika mereka berhenti ( memusuhimu )  sesungguhnya Allah Maha Pengampun lagi Maha Penyayang .,['Allah'],['http://www.wikidata.org/entity/Q2095353']
138,"( Nabi Muhammad )  "" Panggillah ( berhala-berhalamu ) yang kamu anggap sekutu Allah  kemudian lakukanlah tipu daya ( untuk mencelakakan ) - ku dan jangan kamu tunda lagi . Sesungguhnya pelindungku adalah Allah yang telah menurunkan kitab suci ( Al-Qur'an ) .","['Muhammad', 'Allah', 'Allah', ""Al-Qur'an""]","['http://www.wikidata.org/entity/Q9458', 'http://www.wikidata.org/entity/Q2095353', 'http://www.wikidata.org/entity/Q2095353', 'http://www.wikidata.org/entity/Q428']"
493,Allah tidak lengah terhadap apa yang kamu kerjakan .,['Allah'],['http://www.wikidata.org/entity/Q2095353']
2328,"Mereka yang mendustakan Syuʻaib itulah orang-orang yang rugi . ( Ketika Syuʻaib yakin azab akan menimpa kaum kafir  ) ia meninggalkan mereka seraya berkata  "" Wahai kaumku  sungguh aku benar-benar telah menyampaikan risalah Tuhanku kepadamu dan aku telah menasihatimu .","['Syuʻaib', 'Syuʻaib']","['http://www.wikidata.org/entity/Q982867', 'http://www.wikidata.org/entity/Q982867']"
1639,Akan tetapi  jika saudara perempuan itu dua orang  bagi keduanya dua pertiga dari harta yang ditinggalkan .,[],[]
1430,Siapa yang memberi pertolongan yang buruk niscaya akan menanggung bagian ( dosa ) darinya .,[],[]
1137,Di antara kamu ada orang yang menghendaki dunia dan di antara kamu ada ( pula ) orang yang menghendaki akhirat .,[],[]
2122,Sungguh  Kami telah menjelaskan secara rinci ayat-ayat ( Kami ) kepada orang-orang yang mengambil pelajaran .,[],[]
1839,"Pasti akan engkau dapati pula orang yang paling dekat persahabatannya dengan orang-orang yang beriman  yaitu orang-orang yang berkata  "" Sesungguhnya kami adalah orang Nasrani . "" Hal itu karena di antara mereka terdapat para pendeta dan rahib  juga karena mereka tidak menyombongkan diri .",['orang Nasrani'],['http://www.wikidata.org/entity/Q106039']
1792,Mengapa para ulama dan pendeta tidak melarang mereka mengucapkan perkataan bohong dan memakan ( makanan ) yang haram ? Sungguh,[],[]
2208,Pasti akan Kami tanyai ( pula ) para rasul .,[],[]
1400,Cukuplah Allah Yang Maha Mengetahui .,['Allah Yang Maha Mengetahui'],['http://www.wikidata.org/entity/Q2095353']
2011,Mereka mendapat minuman dari air yang mendidih dan azab yang pedih karena mereka selalu kufur .,[],[]
1705,Ketika keduanya mempersembahkan kurban  kemudian diterima dari salah satunya ( Habil ) dan tidak diterima dari yang lain ( Qabil ) .,"['Habil', 'Qabil']","['http://www.wikidata.org/entity/Q40326836', 'http://www.wikidata.org/entity/Q40326813']"
134,Sama saja ( hasilnya ) buatmu  apakah kamu menyeru mereka atau berdiam diri .,[],[]
472,Sesungguhnya Allah benar-benar Maha Pengasih lagi Maha Penyayang kepada manusia .,['Allah'],['http://www.wikidata.org/entity/Q2095353']
2177,Kami tidak membebani seseorang melainkan menurut kesanggupannya .,[],[]
1895,"Siapa yang kufur di antaramu setelah ( turun hidangan ) itu  sesungguhnya Aku akan mengazabnya dengan azab yang tidak pernah Aku timpakan kepada seorang pun di antara ( manusia ) seluruh alam . "" ( Ingatlah ) ketika Allah berfirman  "" Wahai Isa putra Maryam  apakah engkau mengatakan kepada orang-orang  ' Jadikanlah aku dan ibuku sebagai dua tuhan selain Allah ? '","['Allah', 'Isa putra Maryam', 'Allah']","['http://www.wikidata.org/entity/Q2095353', 'http://www.wikidata.org/entity/Q51664', 'http://www.wikidata.org/entity/Q2095353']"
1279,Para wanita yang melakukan perbuatan keji di antara wanita-wanita kamu  maka mintalah kesaksian atas ( perbuatan keji ) - nya dari empat orang di antara kamu .,[],[]
591,Bertakwalah kepada Allah dan ketahuilah bahwa Allah bersama orang-orang yang bertakwa .,"['Allah', 'Allah']","['http://www.wikidata.org/entity/Q2095353', 'http://www.wikidata.org/entity/Q2095353']"
860,Kamu bersedekah ( membebaskan utang ) itu lebih baik bagimu apabila kamu mengetahui ( - nya ) .,[],[]
1488,Sesungguhnya Kami telah menurunkan Kitab ( Al-Qur'an ) kepadamu ( Nabi Muhammad ) dengan hak agar kamu memutuskan ( perkara ) di antara manusia dengan apa yang telah Allah ajarkan kepadamu .,"[""Al-Qur'an"", 'Muhammad', 'Allah']","['http://www.wikidata.org/entity/Q428', 'http://www.wikidata.org/entity/Q9458', 'http://www.wikidata.org/entity/Q2095353']"
442,"( Ingatlah ) ketika Ibrahim berdoa  "" Ya Tuhanku  jadikanlah ( negeri Makkah ) ini negeri yang aman dan berilah rezeki berupa buah-buahan ( hasil tanaman  tumbuhan yang bisa dimakan ) kepada penduduknya  yaitu orang yang beriman di antara mereka kepada Allah dan hari Akhir . "" Dia ( Allah ) berfirman  "" Siapa yang kufur akan Aku beri kesenangan sementara  kemudian akan Aku paksa dia ke dalam azab neraka . Itulah seburuk-buruk tempat kembali . "" ( Ingatlah ) ketika Ibrahim meninggikan fondasi Baitullah bersama Ismail ( seraya berdoa )  "" Ya Tuhan kami  terimalah ( amal ) dari kami .","['Ibrahim', 'negeri Makkah', 'Allah', 'hari Akhir', 'Allah', 'Ibrahim', 'Baitullah', 'Ismail']","['http://www.wikidata.org/entity/Q1768161', 'http://www.wikidata.org/entity/Q5806', 'http://www.wikidata.org/entity/Q2095353', 'http://www.wikidata.org/entity/Q12200906', 'http://www.wikidata.org/entity/Q2095353', 'http://www.wikidata.org/entity/Q1768161', 'http://www.wikidata.org/entity/Q29466', 'http://www.wikidata.org/entity/Q470988']"
379,Oleh karena itu  mereka menanggung kemurkaan demi kemurkaan .,[],[]
1322,Mohonlah kepada Allah sebagian dari karunia-Nya .,['Allah'],['http://www.wikidata.org/entity/Q2095353']
