sent_id,sentence,entities,uris
1840,"Pria kelahiran Bogor, 16 Maret 60 tahun silam itu juga ditunjuk sebagai salah satu direktur Indofood dalam RUPS Juni 2008 silam.","['Bogor', 'Indofood']","['http://www.wikidata.org/entity/Q10363', 'http://www.wikidata.org/entity/Q3930665']"
1714,"Meski cuma menguasai bola sebesar 42% dan cuma mengarahkan 10 upaya, mereka malah berhasil mencatatkan tujuh percobaan ke arah gawang.",[],[]
410,"""Setahu saya seharusnya ada pendamping atau dilaporkan khusus dari awal semestinya.",[],[]
1101,Menhub sebagai regulator dan pengguna anggaran mengaku memiliki hambatan dan kompleksitas akibat dikejar-kejar deadline proyek.,[],[]
860,"""PKB memantau semua manuver atau gerakan pihak-pihak yang ingin mendelegitimasi Kemendes di bawah Pak Marwan,"" pungkasnya.","['PKB', 'Kemendes', 'Marwan']","['http://www.wikidata.org/entity/Q1257317', 'http://www.wikidata.org/entity/Q11049125', 'http://www.wikidata.org/entity/Q17410695']"
74,Benzema menjadi striker Prancis tertajam di lima liga besar Eropa.,"['Benzema', 'Prancis', 'Eropa']","['http://www.wikidata.org/entity/Q1912', 'http://www.wikidata.org/entity/Q142', 'http://www.wikidata.org/entity/Q46']"
1909,"""KPPU merekomendasikan dihilangkan, karena ini menghambat taksi konvensional bersaing menerapkan tarif rendah,"" jelas Ketua KPPU M.","['KPPU', 'KPPU']","['http://www.wikidata.org/entity/Q4196828', 'http://www.wikidata.org/entity/Q4196828']"
448,"UGM yang menggelar aksi sejak siang hari, saat ini masih bertahan di depan Balairung.",['UGM'],['http://www.wikidata.org/entity/Q1145992']
1355,"""Kami sangat menikmati membuat ' Frozen Fever ', dan kami ingin kembali lagi dengan karakter-karakter itu,"" buka Chief Creative Officer Walt Disney dan Pixar Animation Studios, John Lasseter.","['Walt Disney', 'Pixar Animation Studios', 'John Lasseter']","['https://www.wikidata.org/wiki/Q7414', 'http://www.wikidata.org/entity/Q127552', 'http://www.wikidata.org/entity/Q269214']"
1765,Ducati belum memutuskan siapa yang akan jadi tandem Jorge Lorenzo di musim depan.,"['Ducati', 'Jorge Lorenzo']","['http://www.wikidata.org/entity/Q910674', 'http://www.wikidata.org/entity/Q241112']"
524,Wakil Sekretaris Jenderal PKB Jazilul Fawaid mengatakan ada pihak-pihak yang menciptakan opini untuk mengarahkan pemberitaan reshuffle terhadap kader PKB yang menjabat sebagai menteri di Kabinet Kerja.,"['PKB', 'Jazilul Fawaid', 'PKB', 'Kabinet Kerja']","['http://www.wikidata.org/entity/Q1257317', 'http://www.wikidata.org/entity/Q1257317', 'http://www.wikidata.org/entity/Q1257317', 'http://www.wikidata.org/entity/Q18342125']"
1359,Lawan yang akan dihadapi Djokovic di babak semifinal ini adalah pemenang antara Roger Federer dan Robin Soderling.,"['Djokovic', 'Roger Federer', 'Robin Soderling']","['http://www.wikidata.org/entity/Q5812', 'http://www.wikidata.org/entity/Q1426', 'http://www.wikidata.org/entity/Q192801']"
